# zone=Tip
# idx_a=0 (length), idx_b=1 (delta_x), idx_c=2 (tp)
# range_a=[0.24, 0.5], steps_a=6
# range_b=[-0.06, -0.4], steps_b=6
# range_c=[0.6, 1.4], steps_c=6
length,delta_x,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.396,-0.4,1.4,0.30101108,0.016595312,0.037452001,0.0086228537,0.017359482,0.57998584,4.2561303,0.54377105,2.746204,0.027031632
0.448,-0.06,0.6,0.37351008,0.019107268,0.039131702,0.0050727598,0.010134257,0.28983022,2.3283628,0.18647169,0.77213322,0.01589896
0.448,-0.06,0.76,0.42323808,0.019178417,0.039788451,0.0044193054,0.0084218153,0.24211386,2.1151686,0.11077129,0.66507945,0.012908894
0.448,-0.06,0.92,0.45687108,0.018795212,0.039255215,0.0042067671,0.007859952,0.23633699,2.1484593,0.088413192,0.66698069,0.012473871
0.448,-0.06,1.08,0.48040308,0.018765125,0.039877718,0.0040955013,0.0077961239,0.23046529,2.1412716,0.073916941,0.5788383,0.011823837
0.448,-0.06,1.24,0.49720308,0.018464178,0.039584234,0.0040680642,0.007834851,0.23454583,2.2273865,0.079365677,0.65664648,0.01383462
0.448,-0.06,1.4,0.50974308,0.018122706,0.03905592,0.0040804434,0.0078571798,0.24111504,2.298854,0.094972113,0.83687144,0.017618724
0.448,-0.128,0.6,0.25417208,0.01753677,0.037827224,0.0089633672,0.017321741,0.60500433,3.9302829,0.54566707,2.092326,0.017772452
0.448,-0.128,0.76,0.30243708,0.018316435,0.03989312,0.0067066797,0.013473149,0.46358257,3.4193444,0.32004773,1.4136454,0.016099127
0.448,-0.128,0.92,0.34034508,0.018139778,0.03940631,0.0059086935,0.011854165,0.40248169,3.1605593,0.2420081,1.2605467,0.016354173
0.448,-0.128,1.08,0.37004508,0.017691252,0.038115685,0.0055076849,0.011150207,0.37565162,3.0697412,0.20527483,1.2070171,0.017099062
0.448,-0.128,1.24,0.39358908,0.017796469,0.039059285,0.0052252689,0.010743644,0.35492353,3.0047349,0.19628079,1.3176024,0.019075915
0.448,-0.128,1.4,0.41259708,0.017838789,0.039759397,0.0050902568,0.010856601,0.35442266,3.0772983,0.18542844,1.1910315,0.02027644
0.448,-0.196,0.6,0.21758908,0.016691004,0.037016991,0.012381755,0.022875278,0.76281532,4.5117154,0.86130957,3.1119423,0.019021817
