X(mm),Y(mm),Z(mm)
-32.276366,-879.460546,0.000000
-32.236361,-879.347546,0.000000
-32.196355,-879.234546,0.000000
-32.156350,-879.121546,0.000000
-32.116345,-879.008546,0.000000
-32.076340,-878.895546,0.000000
-32.036335,-878.782546,0.000000
-31.996329,-878.669546,0.000000
-31.956324,-878.556546,0.000000
-31.916319,-878.443546,0.000000
-31.876314,-878.330546,0.000000
-31.836308,-878.217546,0.000000
-31.796303,-878.104546,0.000000
-31.756298,-877.991546,0.000000
-31.716293,-877.878546,0.000000
-31.676287,-877.765546,0.000000
-31.636282,-877.652546,0.000000
-31.596277,-877.539546,0.000000
-31.556272,-877.426546,0.000000
-31.516266,-877.313546,0.000000
-31.476261,-877.200546,0.000000
-31.436256,-877.087546,0.000000
-31.396251,-876.974546,0.000000
-31.356245,-876.861546,0.000000
-31.316240,-876.748546,0.000000
-31.276235,-876.635546,0.000000
-31.236230,-876.522546,0.000000
-31.196224,-876.409546,0.000000
-31.156219,-876.296546,0.000000
-31.116214,-876.183546,0.000000
-31.076209,-876.070546,0.000000
-31.036203,-875.957546,0.000000
-30.996198,-875.844546,0.000000
-30.956193,-875.731546,0.000000
-30.916188,-875.618546,0.000000
-30.876182,-875.505546,0.000000
-30.836177,-875.392546,0.000000
-30.796172,-875.279546,0.000000
-30.756167,-875.166546,0.000000
-30.716161,-875.053546,0.000000
-30.676156,-874.940546,0.000000
-30.636151,-874.827546,0.000000
-30.596146,-874.714546,0.000000
-30.556140,-874.601546,0.000000
-30.516135,-874.488546,0.000000
-30.476130,-874.375546,0.000000
-30.436125,-874.262546,0.000000
-30.396120,-874.149546,0.000000
-30.356114,-874.036546,0.000000
-30.316109,-873.923546,0.000000
-30.276104,-873.810546,0.000000
-30.236099,-873.697546,0.000000
-30.196093,-873.584546,0.000000
-30.156088,-873.471546,0.000000
-30.116083,-873.358546,0.000000
-30.076078,-873.245546,0.000000
-30.036072,-873.132546,0.000000
-29.996067,-873.019546,0.000000
-29.956062,-872.906546,0.000000
-29.916057,-872.793546,0.000000
-29.876051,-872.680546,0.000000
-29.836046,-872.567546,0.000000
-29.796041,-872.454546,0.000000
-29.756036,-872.341546,0.000000
-29.716030,-872.228546,0.000000
-29.676025,-872.115546,0.000000
-29.636020,-872.002546,0.000000
-29.596015,-871.889546,0.000000
-29.556009,-871.776546,0.000000
-29.516004,-871.663546,0.000000
-29.475999,-871.550546,0.000000
-29.435994,-871.437546,0.000000
-29.395988,-871.324546,0.000000
-29.355983,-871.211546,0.000000
-29.315978,-871.098546,0.000000
-29.275973,-870.985546,0.000000
-29.235967,-870.872546,0.000000
-29.195962,-870.759546,0.000000
-29.155957,-870.646546,0.000000
-29.115952,-870.533546,0.000000
-29.075946,-870.420546,0.000000
-29.035941,-870.307546,0.000000
-28.995936,-870.194546,0.000000
-28.955931,-870.081546,0.000000
-28.915925,-869.968546,0.000000
-28.875920,-869.855546,0.000000
-28.835915,-869.742546,0.000000
-28.795910,-869.629546,0.000000
-28.755905,-869.516546,0.000000
-28.715899,-869.403546,0.000000
-28.675894,-869.290546,0.000000
-28.635889,-869.177546,0.000000
-28.595884,-869.064546,0.000000
-28.555878,-868.951546,0.000000
-28.515873,-868.838546,0.000000
-28.475868,-868.725546,0.000000
-28.435863,-868.612546,0.000000
-28.395857,-868.499546,0.000000
-28.355852,-868.386546,0.000000
-28.315847,-868.273546,0.000000
-28.275842,-868.160546,0.000000
-28.235836,-868.047546,0.000000
-28.195831,-867.934546,0.000000
-28.155826,-867.821546,0.000000
-28.115821,-867.708546,0.000000
-28.075815,-867.595546,0.000000
-28.035810,-867.482546,0.000000
-27.995805,-867.369546,0.000000
-27.955800,-867.256546,0.000000
-27.915794,-867.143546,0.000000
-27.875789,-867.030546,0.000000
-27.835784,-866.917546,0.000000
-27.795779,-866.804546,0.000000
-27.755773,-866.691546,0.000000
-27.715768,-866.578546,0.000000
-27.675763,-866.465546,0.000000
-27.635758,-866.352546,0.000000
-27.595752,-866.239546,0.000000
-27.555747,-866.126546,0.000000
-27.515742,-866.013546,0.000000
-27.475737,-865.900546,0.000000
-27.435731,-865.787546,0.000000
-27.395726,-865.674546,0.000000
-27.355721,-865.561546,0.000000
-27.315716,-865.448546,0.000000
