# zone=Trailing
# idx_a=1 (length), idx_b=2 (tp)
# range_a=[0.5, 0.8], steps_a=10
# range_b=[1.05, 1.3], steps_b=10
length,tp,zone_length,rms_lag_x,peak_lag_x,rms_lag_y,peak_lag_y,rms_accel_x,peak_accel_x,rms_accel_y,peak_accel_y,L2.5_rms_ay
0.76666667,1.3,0.88366667,0.014916459,0.015198938,0.0043444305,0.0079157879,0.065727524,0.1654123,0.015238861,0.032289758,0.011185971
0.8,1.05,0.917,0.014964564,0.015197261,0.0036634399,0.0079157245,0.054725626,0.14779494,0.012942968,0.041426478,0.010422147
0.8,1.0777778,0.917,0.014962203,0.015195056,0.0037309109,0.0079157245,0.046669826,0.15762057,0.012801581,0.038677574,0.010308298
0.8,1.1055556,0.917,0.014959618,0.015194827,0.0037985221,0.0079157245,0.052847887,0.16157052,0.012647227,0.039002445,0.010184006
0.8,1.1333333,0.917,0.014956898,0.015195158,0.003868079,0.0079157245,0.065229273,0.15521506,0.012715797,0.03818232,0.010239221
0.8,1.1611111,0.917,0.014954054,0.015194132,0.0039354038,0.0079157245,0.058801676,0.15213923,0.012788091,0.038632675,0.010297435
0.8,1.1888889,0.917,0.014951131,0.015195036,0.0040005889,0.0079157245,0.055186508,0.14720143,0.012699683,0.037940596,0.010226245
0.8,1.2166667,0.917,0.014947824,0.015195408,0.0040671853,0.0079157245,0.059032458,0.16229618,0.012905597,0.036108529,0.010392055
0.8,1.2444444,0.917,0.014944655,0.015195199,0.0041331276,0.0079157245,0.058930709,0.15061841,0.012945475,0.032366104,0.010424166
0.8,1.2722222,0.917,0.014941523,0.015197324,0.004195613,0.0079157245,0.055208758,0.16188012,0.013147401,0.030416761,0.010586764
0.8,1.3,0.917,0.014937998,0.01519788,0.0042574555,0.0079157245,0.06256431,0.16392656,0.013294646,0.026781986,0.010705332
