===BEGIN_METADATA===
Test Name: 2026-06-16_195024_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 70,Positions (mm): 60 100 120 154
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.513577,-244,-305,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.516808,-299,-63,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.52004,-145,-236,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.523279,-333,-373,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.526509,-178,-45,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.52974,-229,-348,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.532976,-132,-134,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.536211,-269,-106,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.539443,-246,-285,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.542686,-168,-7,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.545918,-8,-279,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.549151,-169,-277,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.552384,-269,-98,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.555624,-377,-62,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.558861,-291,-69,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.562095,-234,-342,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.565334,-226,-3,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.568566,-184,-39,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.571798,-291,-138,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.575039,-89,-236,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.578269,-240,-251,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.581503,-226,-211,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.458104
0.584743,-266,-319,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.587975,-136,-173,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.591206,-332,-208,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.594494,-332,-248,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.597745,-632,-214,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.601041,-401,-220,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.604332,-171,-357,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.607588,-202,-111,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.61082,-291,-162,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.614072,-232,-172,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.617303,-309,-102,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.620533,-117,-316,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.62377,-280,-128,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.627004,-122,-251,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.630235,-413,-108,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.633474,-344,-363,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.636708,-328,-112,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.639939,-486,-154,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.525248
0.643175,-245,-289,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.646408,-213,-364,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.64964,-184,-128,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.652968,-456,-346,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.656251,-145,-254,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.659489,-484,-290,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.66274,-234,-328,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.665976,-565,-261,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.669207,-220,-359,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.672441,-448,-274,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.67568,-447,-293,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.678912,-422,-144,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.682143,-385,-396,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.685379,-362,-160,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.68861,-449,-25,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.691846,-429,-243,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.695089,-281,-170,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.698319,-252,-39,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.701552,-366,-89,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.704796,-481,-179,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.708053,-343,-330,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.711289,-176,-247,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.71456,-356,-231,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.717792,-245,-314,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.721024,-401,-371,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.724263,-303,-331,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.727494,-558,-52,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.730728,-268,-135,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.733973,-325,-103,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.737207,-316,-357,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.74044,-177,-217,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.743676,-399,-265,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.746911,-193,-170,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.750143,-438,-243,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.753384,-358,-13,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.756618,-340,-176,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.759849,-292,-254,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.763094,-275,-173,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.766324,-246,-339,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
0.769555,-322,-205,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.791364
