===BEGIN_METADATA===
Test Name: 2026-06-10_115136_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 60,Positions (mm): 60 75 95
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 001
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.583623,107,-105,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.58685,-154,-23,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.590081,-149,-43,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.593314,-45,-108,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.596539,-174,136,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.599764,-8,82,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.602989,-33,57,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.606227,4,-71,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.609453,-2,-112,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.612679,-36,88,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.615912,3,-29,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.619137,-69,-79,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.622364,-266,28,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.625601,11,-176,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.628833,-226,-138,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.632061,-15,55,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.635305,-73,-182,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.63853,-19,-228,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.641758,-178,-22,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.644994,6,-34,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.648219,-99,-76,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.651445,-66,66,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.654684,-91,55,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.657909,-24,-7,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.661134,70,-199,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.664369,-57,-55,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.667595,-172,43,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.670822,-72,22,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.674055,-154,-33,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.677286,-176,106,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.680513,26,-1,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.683748,-172,-32,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.686973,-214,-5,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.690199,-86,71,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.693434,-113,-9,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.696661,-21,-34,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.699887,-42,24,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.703135,-239,151,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.706362,-98,29,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.709587,-122,-149,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.712813,-153,-103,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.71605,-165,-127,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.719277,-192,57,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.722502,-229,-11,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.72574,-210,18,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.728967,-72,86,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
0.732194,-443,-70,,,,,,,,,,,,,,,,,,,,,,,,,11:51:42.444915
