Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.333182,+0018933,+0622627,0.333386,-8388608,-8388608,0.333267,+0301498,-0141580,0.331062,-0398751,+0614974,0.330915,+0852570,+0378236,20:51:46.701499
0.336432,+0019069,+0622506,0.336623,-8388608,-8388608,0.336557,+0301503,-0141500,0.336681,-0398994,+0615019,0.336494,+0852671,+0378192,20:51:46.701499
0.339676,+0019045,+0622575,0.339862,-8388608,-8388608,0.339793,+0301286,-0141591,0.339516,-0398857,+0615114,0.339287,+0852774,+0378132,20:51:46.701499
0.342921,+0018941,+0622716,0.343099,-8388608,-8388608,0.343030,+0301330,-0141594,0.342321,-0399130,+0615067,0.342076,+0852646,+0377960,20:51:46.701499
0.346175,+0018913,+0622590,0.346382,-8388608,-8388608,0.346264,+0301349,-0141572,0.345128,-0398924,+0615221,0.344872,+0852742,+0378159,20:51:46.701499
0.349420,+0019088,+0622672,0.349620,-8388608,-8388608,0.349499,+0301520,-0141557,0.347941,-0398873,+0614925,0.347718,+0852618,+0378354,20:51:46.701499
0.352666,+0019119,+0622794,0.352858,-8388608,-8388608,0.352737,+0301645,-0141472,0.353555,-0398826,+0615171,0.353290,+0852643,+0378180,20:51:46.701499
0.355917,+0018783,+0622563,0.356141,-8388608,-8388608,0.355975,+0301420,-0141452,0.356362,-0398785,+0614919,0.356081,+0852865,+0378164,20:51:46.701499
0.359161,+0018953,+0622618,0.359377,-8388608,-8388608,0.359280,+0301588,-0141463,0.359221,-0399023,+0614942,0.358869,+0852799,+0377939,20:51:46.701499
0.362406,+0018988,+0622655,0.362616,-8388608,-8388608,0.362516,+0301404,-0141475,0.362029,-0399028,+0614888,0.361655,+0852589,+0378105,20:51:46.701499
0.365656,+0018981,+0622513,0.365904,-8388608,-8388608,0.365755,+0301253,-0141335,0.364837,-0399028,+0614846,0.364451,+0852698,+0378304,20:51:46.768542
0.368921,+0018956,+0622490,0.369141,-8388608,-8388608,0.368991,+0301436,-0141389,0.367643,-0398747,+0615120,0.367239,+0852788,+0378118,20:51:46.768542
0.375476,+0018924,+0622784,0.375624,-8388608,-8388608,0.375562,+0301424,-0141563,0.376090,-0398814,+0614976,0.375693,+0852736,+0378074,20:51:46.768542
0.378798,+0018737,+0622649,0.378927,-8388608,-8388608,0.378867,+0301209,-0141391,0.378987,-0398833,+0615057,0.378501,+0852534,+0377848,20:51:46.768542
0.382076,+0019058,+0622597,0.382193,-8388608,-8388608,0.382135,+0301343,-0141552,0.381794,-0398820,+0615058,0.381287,+0852621,+0378138,20:51:46.768542
0.385323,+0019034,+0622574,0.385442,-8388608,-8388608,0.385383,+0301189,-0141580,0.384604,-0398820,+0614988,0.384078,+0852754,+0378267,20:51:46.768542
0.388578,+0018943,+0622617,0.388694,-8388608,-8388608,0.388636,+0301441,-0141576,0.387411,-0398860,+0614954,0.386897,+0852762,+0378012,20:51:46.768542
